file,slots,service_bytes_avg_per_slot,arrival_bytes_est_avg_per_slot,backlog_bytes_avg_per_slot,backlog_bytes_median_per_slot,backlog_bytes_pos_delta_total,backlog_bytes_net_delta_total
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_120_H4_P0(NP).csv,18,59477.555555555555,75210.6768074652,56897.555555555555,36828.0,254858.0,-109384.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_121_H4_P0(NP).csv,18,53337.0,62111.2076754663,43121.0,29247.0,238642.0,-106608.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_122_H4_P0(NP).csv,13,60707.230769230766,82589.42345261238,48699.46153846154,43081.0,281491.0,73822.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_123_H4_P0(NP).csv,6,99749.66666666667,132389.48995983935,67156.33333333333,44709.0,181616.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_124_H4_P0(NP).csv,8,75636.25,82813.70929241262,72655.0,71749.0,58452.0,-84118.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_125_H4_P0(NP).csv,15,72181.2,96211.09296617958,53384.8,40552.0,332874.0,-21442.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_126_H4_P0(NP).csv,10,62680.3,71672.26,77626.9,111976.0,11043.0,-120940.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_127_H4_P0(NP).csv,6,64872.333333333336,97716.52030947777,61985.666666666664,73289.0,94574.0,-53728.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_128_H4_P0(NP).csv,7,98169.71428571429,131036.0808286105,78283.42857142857,80660.0,176062.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_129_H4_P0(NP).csv,5,98736.8,119430.1652173913,46658.8,45184.0,93244.0,-21794.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_130_H4_P0(NP).csv,6,101632.33333333333,114853.46846846846,72774.0,73118.0,53736.0,-61620.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_131_H4_P0(NP).csv,12,51158.0,59722.534922394676,77954.58333333333,96600.5,50108.0,-87726.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_132_H4_P0(NP).csv,6,89843.0,116921.84339949109,52667.666666666664,33932.0,160100.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_133_H4_P0(NP).csv,9,71764.66666666667,90282.41725490196,53536.22222222222,36686.0,104316.0,-49154.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_134_H4_P0(NP).csv,8,71621.875,163779.20192307694,63083.25,72649.0,42580.0,-110356.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_135_H4_P0(NP).csv,7,73639.28571428571,105468.47292473608,82751.42857142857,71768.0,160784.0,9136.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_136_H4_P0(NP).csv,6,71317.66666666667,115084.52520031016,76940.0,61869.0,237762.0,54976.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_137_H4_P0(NP).csv,9,85071.55555555556,111983.63781606918,69058.44444444444,92054.0,220376.0,-35902.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_138_H4_P0(NP).csv,21,43716.47619047619,61772.72172078518,45634.09523809524,39428.0,256214.0,-77954.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_139_H4_P0(NP).csv,11,68512.72727272728,90234.94466403163,48538.545454545456,43088.0,207060.0,-45530.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_140_H4_P0(NP).csv,8,93771.125,120586.45621212121,71715.25,77470.0,80946.0,-72314.0
